customerID,Churn,ChurnProbability,RiskCategory,MonthlyCharges,TotalCharges,RevenueAtRisk,Contract,tenure,TenureGroup,CustomerValueGroup,Segment,NumServices,InternetService
7471-WNSUF,No,0.0106,Low Risk,24.15,1505.9,0.26,One year,60,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
8942-DBMHZ,No,0.1249,Low Risk,20.45,255.35,2.55,Month-to-month,12,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
4301-VVZKA,No,0.6608,High Risk,75.4,1189.4,49.82,Month-to-month,16,13-24 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
9199-PWQVC,No,0.049,Low Risk,79.7,4786.15,3.91,One year,63,49+ months,High Value,High Value / Low Risk,7,DSL
4824-GUCBY,No,0.3383,Medium Risk,81.7,1820.9,27.64,Month-to-month,22,13-24 months,Medium Value,Low-Med Value / Low Risk,4,Fiber optic
5393-HJZSM,No,0.0598,Low Risk,76.3,2404.15,4.56,Month-to-month,32,25-48 months,Medium Value,Low-Med Value / Low Risk,7,DSL
7074-IEVOJ,Yes,0.7402,High Risk,79.4,205.05,58.77,Month-to-month,3,0-12 months,Low Value,Low-Med Value / High Risk,4,Fiber optic
9625-QSTYE,Yes,0.5512,High Risk,81.15,952.3,44.73,Month-to-month,13,13-24 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
0862-PRCBS,No,0.0628,Low Risk,103.75,7039.45,6.52,Two year,68,49+ months,High Value,High Value / Low Risk,7,Fiber optic
8812-ZRHFP,No,0.2371,Low Risk,86.45,2538.05,20.5,One year,30,25-48 months,Medium Value,Low-Med Value / Low Risk,4,Fiber optic
5146-CBVOE,No,0.3601,Medium Risk,75.1,1212.85,27.04,Month-to-month,16,13-24 months,Medium Value,Low-Med Value / Low Risk,3,Fiber optic
0454-OKRCT,No,0.0574,Low Risk,80.6,2651.1,4.62,Two year,33,25-48 months,Medium Value,Low-Med Value / Low Risk,4,Fiber optic
5787-KXGIY,No,0.0021,Low Risk,19.3,1304.8,0.04,Two year,72,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
4750-ZRXIU,Yes,0.8061,Critical Risk,84.6,360.1,68.19,Month-to-month,4,0-12 months,Low Value,Low-Med Value / High Risk,4,Fiber optic
4198-VFOEA,No,0.1638,Low Risk,33.6,435.45,5.5,One year,12,0-12 months,Medium Value,Low-Med Value / Low Risk,3,DSL
6630-UJZMY,No,0.8112,Critical Risk,83.25,308.05,67.53,Month-to-month,4,0-12 months,Low Value,Low-Med Value / High Risk,4,Fiber optic
5709-LVOEQ,No,0.0886,Low Risk,80.85,0.0,7.16,Two year,0,0-12 months,Low Value,Low-Med Value / Low Risk,7,DSL
6400-BWQKW,Yes,0.6361,High Risk,79.05,434.5,50.28,Month-to-month,6,0-12 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
2692-AQCPF,No,0.1545,Low Risk,108.05,7118.9,16.69,One year,65,49+ months,High Value,High Value / Low Risk,8,Fiber optic
0347-UBKUZ,No,0.1095,Low Risk,19.9,320.45,2.18,Month-to-month,15,13-24 months,Low Value,Low-Med Value / Low Risk,1,No
0835-DUUIQ,No,0.029,Low Risk,21.05,531.55,0.61,One year,24,13-24 months,Medium Value,Low-Med Value / Low Risk,1,No
0811-GSDTP,No,0.3343,Medium Risk,30.15,382.2,10.08,Month-to-month,13,13-24 months,Low Value,Low-Med Value / Low Risk,2,DSL
7567-ECMCM,No,0.4884,Medium Risk,79.85,2001.0,39.0,Month-to-month,24,13-24 months,Medium Value,Low-Med Value / Low Risk,3,Fiber optic
6115-ZTBFQ,No,0.0108,Low Risk,65.5,4919.7,0.71,Two year,72,49+ months,High Value,High Value / Low Risk,7,DSL
6353-BRMMA,No,0.2678,Medium Risk,104.1,5645.8,27.88,Month-to-month,54,49+ months,High Value,High Value / Low Risk,7,Fiber optic
6680-WKXRZ,Yes,0.5823,High Risk,74.4,215.8,43.32,Month-to-month,3,0-12 months,Low Value,Low-Med Value / High Risk,3,Fiber optic
6231-WFGFH,No,0.1954,Low Risk,20.5,77.6,4.01,Month-to-month,4,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
9904-EHEVJ,No,0.498,Medium Risk,91.35,2896.55,45.49,Month-to-month,32,25-48 months,Medium Value,Low-Med Value / Low Risk,5,Fiber optic
7028-DVOIQ,Yes,0.6799,High Risk,99.05,3395.8,67.35,Month-to-month,35,25-48 months,Medium Value,Low-Med Value / High Risk,6,Fiber optic
6169-PPETC,No,0.0099,Low Risk,20.5,759.35,0.2,Two year,35,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
4208-UFFGW,Yes,0.3786,Medium Risk,44.95,85.15,17.02,Month-to-month,2,0-12 months,Low Value,Low-Med Value / Low Risk,2,DSL
8584-KMVXD,No,0.5118,High Risk,75.6,535.55,38.69,Month-to-month,8,0-12 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
8467-WYNSR,No,0.1,Low Risk,55.1,1253.15,5.51,Month-to-month,22,13-24 months,Medium Value,Low-Med Value / Low Risk,4,DSL
0851-DFJKB,No,0.1626,Low Risk,58.95,955.15,9.58,Month-to-month,15,13-24 months,Medium Value,Low-Med Value / Low Risk,5,DSL
5382-SOYZL,No,0.7331,High Risk,95.1,2162.6,69.72,Month-to-month,22,13-24 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
9448-REEVD,Yes,0.3368,Medium Risk,44.7,44.7,15.06,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,2,DSL
3261-CQXOL,No,0.0026,Low Risk,25.45,1813.35,0.07,Two year,71,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
8388-FYNPZ,No,0.2901,Medium Risk,56.75,245.15,16.46,Month-to-month,4,0-12 months,Low Value,Low-Med Value / Low Risk,4,DSL
4002-BQWPQ,No,0.1211,Low Risk,81.75,2028.8,9.9,Month-to-month,25,25-48 months,Medium Value,Low-Med Value / Low Risk,8,DSL
5651-YLPRD,No,0.4267,Medium Risk,86.1,2723.75,36.74,Month-to-month,32,25-48 months,Medium Value,Low-Med Value / Low Risk,4,Fiber optic
2826-DXLQO,No,0.3475,Medium Risk,29.8,220.45,10.36,Month-to-month,7,0-12 months,Low Value,Low-Med Value / Low Risk,2,DSL
4378-BZYFP,No,0.076,Low Risk,20.5,365.8,1.56,One year,17,13-24 months,Low Value,Low-Med Value / Low Risk,1,No
9489-UTFKA,No,0.2762,Medium Risk,60.9,551.95,16.82,Month-to-month,8,0-12 months,Medium Value,Low-Med Value / Low Risk,4,DSL
4849-PYRLQ,No,0.017,Low Risk,73.25,4054.2,1.25,Two year,56,49+ months,High Value,High Value / Low Risk,7,DSL
9117-SHLZX,Yes,0.4398,Medium Risk,45.7,45.7,20.1,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,2,DSL
9889-TMAHG,Yes,0.4215,Medium Risk,100.3,832.35,42.28,Month-to-month,8,0-12 months,Medium Value,Low-Med Value / Low Risk,6,Fiber optic
4541-RMRLG,Yes,0.1993,Low Risk,19.25,112.3,3.84,Month-to-month,7,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
7764-BDPEE,No,0.1461,Low Risk,20.85,60.65,3.05,Month-to-month,3,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
3429-IFLEM,No,0.0055,Low Risk,77.35,5550.1,0.43,Two year,71,49+ months,High Value,High Value / Low Risk,7,DSL
3158-MOERK,Yes,0.8225,Critical Risk,96.0,174.8,78.96,Month-to-month,2,0-12 months,Low Value,Low-Med Value / High Risk,5,Fiber optic
7294-TMAOP,Yes,0.7148,High Risk,90.55,90.55,64.72,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,4,Fiber optic
5002-GCQFH,No,0.2827,Medium Risk,93.85,4733.1,26.53,Month-to-month,49,49+ months,High Value,High Value / Low Risk,6,Fiber optic
0556-FJEGU,No,0.0127,Low Risk,70.1,4048.95,0.89,Two year,58,49+ months,High Value,High Value / Low Risk,6,DSL
8919-FYFQZ,Yes,0.2196,Low Risk,30.35,1359.7,6.66,Month-to-month,44,25-48 months,Medium Value,Low-Med Value / Low Risk,2,DSL
0604-THJFP,No,0.0192,Low Risk,75.95,4542.35,1.46,Two year,59,49+ months,High Value,High Value / Low Risk,6,DSL
2834-JRTUA,Yes,0.0848,Low Risk,108.05,7532.15,9.16,Two year,71,49+ months,High Value,High Value / Low Risk,8,Fiber optic
5875-YPQFJ,Yes,0.7061,High Risk,69.9,69.9,49.35,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,2,Fiber optic
5879-SESNB,No,0.6092,High Risk,75.25,888.65,45.84,Month-to-month,11,0-12 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
6646-QVXLR,Yes,0.3161,Medium Risk,103.75,6383.35,32.79,One year,62,49+ months,High Value,High Value / Low Risk,7,Fiber optic
6461-PPAXN,No,0.0349,Low Risk,54.95,1916.0,1.92,One year,35,25-48 months,Medium Value,Low-Med Value / Low Risk,4,DSL
3318-ISQFQ,No,0.1171,Low Risk,19.5,413.0,2.28,Month-to-month,20,13-24 months,Medium Value,Low-Med Value / Low Risk,1,No
1106-HRLKZ,No,0.0084,Low Risk,19.6,808.95,0.17,Two year,40,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
2483-XSSMZ,No,0.0737,Low Risk,47.85,1886.4,3.53,One year,39,25-48 months,Medium Value,Low-Med Value / Low Risk,3,DSL
8603-IJWDN,Yes,0.7948,Critical Risk,86.6,86.6,68.83,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,4,Fiber optic
8165-ZJRNM,No,0.0025,Low Risk,23.75,1679.25,0.06,Two year,72,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
9369-XFEHK,Yes,0.4264,Medium Risk,80.6,2656.5,34.37,Month-to-month,33,25-48 months,Medium Value,Low-Med Value / Low Risk,4,Fiber optic
2604-XVDAM,No,0.2473,Low Risk,43.8,540.95,10.83,Month-to-month,12,0-12 months,Medium Value,Low-Med Value / Low Risk,2,DSL
3717-OFRTN,No,0.1834,Low Risk,19.75,19.75,3.62,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
9046-JBFWA,No,0.0546,Low Risk,19.15,537.35,1.05,Month-to-month,27,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
3280-NMUVX,No,0.0187,Low Risk,19.6,678.8,0.37,One year,34,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
1206-EHBDD,No,0.0307,Low Risk,80.3,4513.65,2.47,Two year,56,49+ months,High Value,High Value / Low Risk,4,Fiber optic
8361-LBRDI,No,0.0056,Low Risk,24.35,1423.85,0.14,Two year,58,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
4883-KCPZJ,No,0.0229,Low Risk,25.25,555.4,0.58,Two year,22,13-24 months,Medium Value,Low-Med Value / Low Risk,2,No
9108-EQPNQ,No,0.0379,Low Risk,26.1,225.55,0.99,Two year,10,0-12 months,Low Value,Low-Med Value / Low Risk,2,No
7277-KAMWT,No,0.0318,Low Risk,20.0,268.45,0.64,Two year,13,13-24 months,Low Value,Low-Med Value / Low Risk,1,No
3842-IYKUE,Yes,0.2172,Low Risk,85.3,2917.5,18.53,Month-to-month,35,25-48 months,Medium Value,Low-Med Value / Low Risk,5,Fiber optic
6641-XRPSU,Yes,0.3309,Medium Risk,70.0,2416.1,23.16,Month-to-month,34,25-48 months,Medium Value,Low-Med Value / Low Risk,2,Fiber optic
1374-DMZUI,Yes,0.8409,Critical Risk,94.3,424.45,79.3,Month-to-month,4,0-12 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
2545-LXYVJ,No,0.0022,Low Risk,20.7,1492.1,0.05,Two year,72,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
3234-VKACU,No,0.4353,Medium Risk,70.3,132.4,30.6,Month-to-month,2,0-12 months,Low Value,Low-Med Value / Low Risk,5,DSL
8357-EQXFO,Yes,0.7456,High Risk,95.35,660.9,71.09,Month-to-month,7,0-12 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
1989-PRJHP,Yes,0.6014,High Risk,75.5,1893.95,45.4,Month-to-month,27,25-48 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
8120-JDCAM,No,0.5651,High Risk,69.55,284.9,39.3,Month-to-month,4,0-12 months,Low Value,Low-Med Value / High Risk,2,Fiber optic
8917-FAEMR,No,0.0117,Low Risk,19.85,784.25,0.23,Two year,37,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
7047-YXDMZ,No,0.0861,Low Risk,20.0,417.7,1.72,Month-to-month,21,13-24 months,Medium Value,Low-Med Value / Low Risk,1,No
2858-EIMXH,No,0.2921,Medium Risk,95.85,5016.25,28.0,One year,53,49+ months,High Value,High Value / Low Risk,5,Fiber optic
9524-EGPJC,Yes,0.6154,High Risk,90.1,1612.75,55.45,Month-to-month,18,13-24 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
6993-OHLXR,Yes,0.6138,High Risk,68.95,119.75,42.32,Month-to-month,2,0-12 months,Low Value,Low-Med Value / High Risk,2,Fiber optic
8818-XYFCQ,Yes,0.4263,Medium Risk,99.55,3204.65,42.44,Month-to-month,32,25-48 months,Medium Value,Low-Med Value / Low Risk,6,Fiber optic
6419-ZTTLE,No,0.0908,Low Risk,20.75,485.2,1.88,One year,23,13-24 months,Medium Value,Low-Med Value / Low Risk,1,No
0929-HYQEW,No,0.3242,Medium Risk,50.15,160.85,16.26,Month-to-month,3,0-12 months,Low Value,Low-Med Value / Low Risk,3,DSL
6614-YOLAC,No,0.0087,Low Risk,58.65,4145.25,0.51,Two year,71,49+ months,High Value,High Value / Low Risk,6,DSL
7426-RHZGU,No,0.5767,High Risk,95.9,827.45,55.31,Month-to-month,9,0-12 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
4065-JJAVA,No,0.3836,Medium Risk,49.5,49.5,18.99,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,3,DSL
4695-VADHF,Yes,0.2851,Medium Risk,57.45,990.85,16.38,Month-to-month,18,13-24 months,Medium Value,Low-Med Value / Low Risk,4,DSL
3863-IUBJR,Yes,0.146,Low Risk,53.65,696.35,7.83,One year,12,0-12 months,Medium Value,Low-Med Value / Low Risk,3,DSL
7649-SIJJF,No,0.0128,Low Risk,80.1,5585.4,1.03,Two year,71,49+ months,High Value,High Value / Low Risk,8,DSL
9361-YNQWJ,No,0.0121,Low Risk,24.4,1601.2,0.3,One year,64,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
3748-FVMZZ,No,0.5888,High Risk,40.05,162.45,23.58,Month-to-month,4,0-12 months,Low Value,Low-Med Value / High Risk,3,DSL
9391-TTOYH,No,0.1097,Low Risk,19.5,470.2,2.14,Month-to-month,23,13-24 months,Medium Value,Low-Med Value / Low Risk,1,No
1452-XRSJV,No,0.0548,Low Risk,51.05,2066.0,2.8,Month-to-month,39,25-48 months,Medium Value,Low-Med Value / Low Risk,3,DSL
3422-WJOYD,No,0.0423,Low Risk,54.35,1426.45,2.3,One year,28,25-48 months,Medium Value,Low-Med Value / Low Risk,4,DSL
8242-SOQUO,No,0.7146,High Risk,84.7,392.5,60.53,Month-to-month,5,0-12 months,Low Value,Low-Med Value / High Risk,4,Fiber optic
7460-ITWWP,No,0.4525,Medium Risk,86.1,3861.45,38.96,Month-to-month,45,25-48 months,High Value,High Value / Low Risk,4,Fiber optic
7147-AYBAA,No,0.3302,Medium Risk,70.35,2552.9,23.23,Month-to-month,37,25-48 months,Medium Value,Low-Med Value / Low Risk,2,Fiber optic
7868-TMWMZ,No,0.0602,Low Risk,110.0,6668.35,6.62,Two year,60,49+ months,High Value,High Value / Low Risk,8,Fiber optic
4822-RVYBB,Yes,0.8186,Critical Risk,100.6,819.4,82.35,Month-to-month,8,0-12 months,Medium Value,Low-Med Value / High Risk,6,Fiber optic
6732-FZUGP,No,0.1324,Low Risk,94.9,4615.25,12.57,One year,47,25-48 months,High Value,High Value / Low Risk,6,Fiber optic
8436-BJUMM,Yes,0.5948,High Risk,83.75,2070.6,49.81,Month-to-month,26,25-48 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
4184-TJFAN,Yes,0.4685,Medium Risk,88.3,273.75,41.37,Month-to-month,3,0-12 months,Low Value,Low-Med Value / Low Risk,5,Fiber optic
8329-GWVPJ,No,0.1946,Low Risk,69.75,3557.7,13.58,Month-to-month,50,49+ months,Medium Value,Low-Med Value / Low Risk,2,Fiber optic
1352-VHKAJ,No,0.2062,Low Risk,71.6,1957.1,14.77,Month-to-month,27,25-48 months,Medium Value,Low-Med Value / Low Risk,6,DSL
4145-UQXUQ,Yes,0.7761,Critical Risk,92.1,729.95,71.48,Month-to-month,8,0-12 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
2632-TACXW,No,0.0049,Low Risk,23.65,1416.75,0.12,Two year,62,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
8146-QQKZH,No,0.0095,Low Risk,81.85,5924.4,0.78,Two year,71,49+ months,High Value,High Value / Low Risk,7,DSL
1767-CJKBA,No,0.0045,Low Risk,25.1,1697.7,0.11,Two year,66,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
6445-TNRXS,No,0.0501,Low Risk,114.7,7849.85,5.75,Two year,68,49+ months,High Value,High Value / Low Risk,9,Fiber optic
4581-LNWUM,No,0.5476,High Risk,49.15,649.4,26.91,Month-to-month,13,13-24 months,Medium Value,Low-Med Value / High Risk,4,DSL
4869-EPIUS,No,0.2044,Low Risk,80.9,4557.5,16.54,One year,56,49+ months,High Value,High Value / Low Risk,3,Fiber optic
9948-YPTDG,Yes,0.288,Medium Risk,79.45,3013.05,22.88,Month-to-month,38,25-48 months,Medium Value,Low-Med Value / Low Risk,4,Fiber optic
1236-WFCDV,Yes,0.5691,High Risk,90.45,1266.1,51.47,Month-to-month,14,13-24 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
1915-OAKWD,No,0.0606,Low Risk,19.3,360.35,1.17,One year,16,13-24 months,Low Value,Low-Med Value / Low Risk,1,No
7296-PIXQY,No,0.4596,Medium Risk,70.2,1046.5,32.27,Month-to-month,14,13-24 months,Medium Value,Low-Med Value / Low Risk,2,Fiber optic
4883-QICIH,Yes,0.3185,Medium Risk,69.75,2347.9,22.22,Month-to-month,32,25-48 months,Medium Value,Low-Med Value / Low Risk,2,Fiber optic
3354-OADJP,No,0.0808,Low Risk,54.25,447.75,4.38,One year,8,0-12 months,Medium Value,Low-Med Value / Low Risk,4,DSL
3524-WQDSG,No,0.4451,Medium Risk,99.3,4209.95,44.2,Month-to-month,43,25-48 months,High Value,High Value / Low Risk,6,Fiber optic
0810-DHDBD,No,0.0306,Low Risk,74.0,3877.65,2.27,One year,52,49+ months,High Value,High Value / Low Risk,7,DSL
4026-SKKHW,No,0.3345,Medium Risk,50.25,152.3,16.81,Month-to-month,3,0-12 months,Low Value,Low-Med Value / Low Risk,3,DSL
2829-HYVZP,No,0.0451,Low Risk,19.8,572.2,0.89,One year,29,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
8329-IBCTI,Yes,0.1907,Low Risk,19.65,19.65,3.75,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
1271-SJBGZ,Yes,0.5403,High Risk,43.65,526.95,23.58,Month-to-month,12,0-12 months,Medium Value,Low-Med Value / High Risk,4,DSL
3845-JHAMY,No,0.3922,Medium Risk,35.5,552.7,13.92,Month-to-month,16,13-24 months,Medium Value,Low-Med Value / Low Risk,2,DSL
7013-PSXHK,No,0.1293,Low Risk,80.75,3208.65,10.44,One year,40,25-48 months,Medium Value,Low-Med Value / Low Risk,7,DSL
5669-SRAIP,Yes,0.5676,High Risk,39.5,210.75,22.42,Month-to-month,5,0-12 months,Low Value,Low-Med Value / High Risk,3,DSL
5981-ITEMU,Yes,0.5138,High Risk,97.1,3706.95,49.89,Month-to-month,40,25-48 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
3486-NPGST,No,0.0222,Low Risk,19.55,620.75,0.43,One year,36,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
6941-PMGEP,Yes,0.7209,High Risk,80.0,412.5,57.67,Month-to-month,5,0-12 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
1624-WOIWJ,Yes,0.5143,High Risk,84.7,832.05,43.56,Month-to-month,10,0-12 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
2074-GKOWZ,Yes,0.6711,High Risk,89.55,185.55,60.1,Month-to-month,2,0-12 months,Low Value,Low-Med Value / High Risk,4,Fiber optic
0376-YMCJC,Yes,0.5752,High Risk,90.6,1943.2,52.11,Month-to-month,23,13-24 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
6100-FJZDG,No,0.0395,Low Risk,20.05,505.9,0.79,One year,26,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
4829-ZLJTK,No,0.1148,Low Risk,112.4,8046.85,12.9,Two year,72,49+ months,High Value,High Value / Low Risk,8,Fiber optic
1730-VFMWO,No,0.0893,Low Risk,50.2,1815.3,4.48,Month-to-month,34,25-48 months,Medium Value,Low-Med Value / Low Risk,3,DSL
7143-BQIBA,No,0.1782,Low Risk,62.25,612.95,11.09,Month-to-month,10,0-12 months,Medium Value,Low-Med Value / Low Risk,5,DSL
3800-LYTRK,No,0.0681,Low Risk,55.7,795.15,3.79,One year,14,13-24 months,Medium Value,Low-Med Value / Low Risk,4,DSL
0634-SZPQA,Yes,0.4789,Medium Risk,90.05,2169.8,43.12,Month-to-month,23,13-24 months,Medium Value,Low-Med Value / Low Risk,5,Fiber optic
9646-NMHXE,No,0.0077,Low Risk,19.65,973.1,0.15,Two year,47,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
7030-NJVDP,No,0.4128,Medium Risk,89.25,2210.2,36.84,Month-to-month,24,13-24 months,Medium Value,Low-Med Value / Low Risk,5,Fiber optic
5536-RTPWK,Yes,0.4353,Medium Risk,99.05,4853.75,43.12,Month-to-month,49,49+ months,High Value,High Value / Low Risk,6,Fiber optic
8883-GRDWQ,No,0.065,Low Risk,54.0,1055.9,3.51,One year,20,13-24 months,Medium Value,Low-Med Value / Low Risk,4,DSL
6166-ILMNY,Yes,0.5189,High Risk,69.75,144.55,36.19,Month-to-month,2,0-12 months,Low Value,Low-Med Value / High Risk,2,Fiber optic
3097-NNSPB,Yes,0.3647,Medium Risk,49.05,91.1,17.89,Month-to-month,2,0-12 months,Low Value,Low-Med Value / Low Risk,3,DSL
7771-ZONAT,No,0.0977,Low Risk,56.75,1304.85,5.54,Two year,22,13-24 months,Medium Value,Low-Med Value / Low Risk,5,DSL
0655-RBDUG,Yes,0.7416,High Risk,98.05,713.0,72.71,Month-to-month,7,0-12 months,Medium Value,Low-Med Value / High Risk,6,Fiber optic
2111-DWYHN,No,0.1899,Low Risk,21.1,21.1,4.01,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
4194-WHFCB,No,0.1837,Low Risk,96.65,5580.8,17.75,Month-to-month,59,49+ months,High Value,High Value / Low Risk,6,Fiber optic
4121-AGSIN,No,0.0126,Low Risk,24.5,1497.9,0.31,One year,58,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
4361-BKAXE,Yes,0.3052,Medium Risk,114.5,4527.45,34.95,Month-to-month,41,25-48 months,High Value,High Value / Low Risk,9,Fiber optic
9845-PEEKO,No,0.0735,Low Risk,79.2,4590.35,5.82,Two year,59,49+ months,High Value,High Value / Low Risk,4,Fiber optic
0455-XFASS,No,0.6422,High Risk,69.55,200.2,44.67,Month-to-month,3,0-12 months,Low Value,Low-Med Value / High Risk,2,Fiber optic
0301-KOBTQ,No,0.0198,Low Risk,20.05,614.45,0.4,Two year,32,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
1751-NCDLI,No,0.6196,High Risk,98.85,4564.9,61.25,Month-to-month,46,25-48 months,High Value,High Value / High Risk,6,Fiber optic
4367-NUYAO,No,0.0664,Low Risk,25.75,0.0,1.71,Two year,0,0-12 months,Low Value,Low-Med Value / Low Risk,2,No
9878-TNQGW,Yes,0.7407,High Risk,80.95,171.15,59.96,Month-to-month,2,0-12 months,Low Value,Low-Med Value / High Risk,3,Fiber optic
9170-ARBTB,No,0.008,Low Risk,19.6,1012.4,0.16,One year,52,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
4441-NIHPT,Yes,0.6359,High Risk,74.3,940.35,47.24,Month-to-month,13,13-24 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
8999-BOHSE,Yes,0.6013,High Risk,89.7,1047.7,53.93,Month-to-month,11,0-12 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
7241-AJHFS,No,0.1982,Low Risk,87.65,2766.4,17.37,Month-to-month,32,25-48 months,Medium Value,Low-Med Value / Low Risk,5,Fiber optic
7029-RPUAV,Yes,0.6985,High Risk,100.45,1622.45,70.17,Month-to-month,17,13-24 months,Medium Value,Low-Med Value / High Risk,6,Fiber optic
4546-FOKWR,No,0.5513,High Risk,74.75,1129.35,41.21,Month-to-month,16,13-24 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
9036-CSKBW,No,0.1529,Low Risk,107.45,5680.9,16.43,One year,51,49+ months,High Value,High Value / Low Risk,8,Fiber optic
5832-TRLPB,No,0.1309,Low Risk,75.35,2243.9,9.86,One year,29,25-48 months,Medium Value,Low-Med Value / Low Risk,6,DSL
8590-YFFQO,No,0.004,Low Risk,64.95,4523.25,0.26,Two year,70,49+ months,High Value,High Value / Low Risk,6,DSL
8659-IOOPU,No,0.0348,Low Risk,100.45,7159.7,3.49,Two year,71,49+ months,High Value,High Value / Low Risk,7,Fiber optic
1338-CECEE,No,0.0663,Low Risk,68.5,2839.95,4.54,One year,41,25-48 months,Medium Value,Low-Med Value / Low Risk,6,DSL
7439-DKZTW,No,0.7478,High Risk,80.55,80.55,60.24,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,3,Fiber optic
4646-QZXTF,No,0.218,Low Risk,81.25,580.1,17.71,Month-to-month,7,0-12 months,Medium Value,Low-Med Value / Low Risk,7,DSL
4607-CHPCA,Yes,0.4195,Medium Risk,90.4,2178.6,37.93,One year,25,25-48 months,Medium Value,Low-Med Value / Low Risk,4,Fiber optic
9742-XOKTS,No,0.0447,Low Risk,89.55,6038.55,4.0,One year,67,49+ months,High Value,High Value / Low Risk,6,Fiber optic
6921-OZMFH,No,0.3332,Medium Risk,55.7,259.4,18.56,Month-to-month,5,0-12 months,Low Value,Low-Med Value / Low Risk,4,DSL
9578-FOMUK,No,0.2088,Low Risk,24.8,324.15,5.18,Month-to-month,15,13-24 months,Low Value,Low-Med Value / Low Risk,2,No
4712-UYOOI,No,0.0976,Low Risk,20.0,417.65,1.95,Month-to-month,20,13-24 months,Medium Value,Low-Med Value / Low Risk,1,No
8824-RWFXJ,Yes,0.3211,Medium Risk,56.15,168.15,18.03,Month-to-month,3,0-12 months,Low Value,Low-Med Value / Low Risk,4,DSL
7722-CVFXN,No,0.2198,Low Risk,105.2,5637.85,23.12,One year,54,49+ months,High Value,High Value / Low Risk,7,Fiber optic
8717-VCTXJ,No,0.0253,Low Risk,19.55,839.4,0.5,One year,42,25-48 months,Medium Value,Low-Med Value / Low Risk,1,No
7363-QTBIW,No,0.7012,High Risk,79.75,769.1,55.92,Month-to-month,9,0-12 months,Medium Value,Low-Med Value / High Risk,3,Fiber optic
4159-NAAIX,No,0.0864,Low Risk,97.45,6253.0,8.42,Two year,63,49+ months,High Value,High Value / Low Risk,6,Fiber optic
0971-QIFJK,No,0.0036,Low Risk,24.25,1641.8,0.09,Two year,69,49+ months,Medium Value,Low-Med Value / Low Risk,2,No
